Type;Fellesnavn;Fritekst;Adresse;Skudd;Siste skudd;Skudd siden plassering;Dato for flytting;Eier
Smart Pipe 200;A86D-WT200-16001423;#KC Stav anger Kommune Av løp;Godalstunet ;0.0;30/05‐19  04:43;342;26/07‐17;Egen
Smart Pipe 200;A86D-WT200-16007217(JEL);#KC Stav anger Kommune Av løp;Olav  Ky rres Gate ;0.0;21/08‐19  17:05;58;29/05‐18;Egen
Smart Pipe 200;A86D-WT200-16007361(JEL);#KC Stav anger Kommune Av løp;Nedre Dalgate ;0.0;25/02‐19  21:20;10;26/11‐18;Egen
Smart Pipe 200;A86D-WT200-16010541;#KC Stav anger Kommune Av løp;Øv re Dalgate;0.0;22/08‐19  02:42;375;23/06‐17;Egen
Smart Pipe 200;A86D-WT200-16010692;Hugtussa BRL;Hallingstien ;0.0;18/02‐19  16:28;0;15/07‐19;Egen
Smart Pipe 200;A86D-WT200-16010808;#KC Stav anger Kommune Av løp;Øv re Holmegate;0.0;13/07‐18  17:57;32;27/07‐17;Egen
Smart Pipe 200;A86D-WT200-16010811;#KC Stav anger Kommune Av løp;"Lauritz Bergendahls gate";0.0;09/01‐19  04:13;72;17/10‐17;Egen
Smart Pipe 200;A86D-WT200-16010819;#KC Stav anger Kommune Av løp;Dalanev eien ;0.0;29/07‐19  17:12;31;26/07‐17;Egen
Smart Pipe 200;A86D-WT200-16011645;#KC Stav anger Kommune Av løp;Ly sef jordgata ;0.0;31/08‐19  08:03;247;01/09‐17;Egen
Smart Pipe 200;A86D-WT200-16011824(JEL);#KC Stav anger Kommune Av løp;Skagenkaien ;0.0;02/09‐19  08:32;178;01/04‐19;Egen
Smart Pipe 200;A86D-WT200-16012231;#KC Stav anger Kommune Av løp;Ly sef jordgata ;0.0;26/07‐19  13:02;35;01/09‐17;Egen
Smart Pipe 200;A86D-WT200-16012250;#KC Stav anger Kommune Av løp;"Lauritz Bergendahls gate";0.0;01/04‐19  16:46;115;17/10‐17;Egen
Smart Pipe 200;A86D-WT200-16012322(JEL);#KC Stav anger Kommune Av løp;Skagen ;0.0;15/08‐19  17:00;34;31/01‐19;Egen
Smart Pipe 200;A86D-WT200-16012564(JEL);#KC Stav anger Kommune Av løp;Ulsbergleitet ;0.0;21/08‐19  13:53;145;23/04‐18;Egen
Smart Pipe 200;A86D-WT200-16012681(JEL);#KC Stav anger Kommune Av løp;Huldrestien ;0.0;05/09‐19  14:48;106;29/10‐18;Egen
Smart Pipe 200;A86D-WT200-16013099(JEL);#KC Stav anger Kommune Av løp;Lauritz Bergendahls gate ;0.0;31/08‐19  22:57;185;09/04‐18;Egen
Smart Pipe 200;A86D-WT200-16015455(JEL);#KC Stav anger Kommune Av løp;Godalstunet ;0.0;24/08‐19  15:54;45;13/08‐18;Egen
Smart Pipe 200;A86D-WT200-16015492(JEL);#KC Stav anger Kommune Av løp;Solv eig Bergsliens gate ;0.0;07/08‐19  17:49;57;20/08‐18;Egen
Smart Pipe 200;A86D-WT200-16015524(JEL);#KC Stav anger Kommune Av løp;Øv re Dalgate ;0.0;25/08‐19  11:43;39;20/08‐18;Egen
Smart Pipe 200;A86D-WT200K-15005149;#KC Stav anger Kommune Av løp;Grashaugv eien ;0.0;18/07‐19  00:49;62;15/01‐18;Egen
Smart Pipe 200;A86D-WT200K-15005378;#KC Stav anger Kommune Av løp;Iv ar Aasens v ei ;0.0;30/08‐19  10:29;124;04/09‐17;Egen
Smart Pipe 200;A86D-WT250-16012585(JEL);#KC Stav anger Kommune Av løp;Stubben ;0.0;09/08‐19  04:44;41;27/08‐18;Egen
Smart Pipe 200;A86R-WT200-16012195;;;0.0;22/06‐18  05:28;0;22/07‐19;Egen
Smart Pipe 250;A86D-WT160-16007138(JEL);#KC Stav anger Kommune Av løp;Auglendsv eien ;0.0;13/07‐19  17:00;20;26/11‐18;Egen
Smart Pipe 250;A86D-WT250-15005617(JEL);#KC Stav anger Kommune Av løp;Ragv eien ;0.0;13/08‐19  23:42;510;19/04‐18;Egen
Smart Pipe 250;A86D-WT250-16001187;#KC Stav anger Kommune Av løp;Mellomstraen ;0.0;06/08‐19  22:43;217;04/09‐17;Egen
Smart Pipe 250;A86D-WT250-16001672;#KC Stav anger Kommune Av løp;Vaisenhusgata ;0.0;02/09‐19  23:11;166;25/04‐19;Egen
Smart Pipe 250;A86D-WT250-16003053(JEL);#KC Stav anger Kommune Av løp;Ole Blix gate ;0.0;07/08‐19  15:54;35;19/02‐19;Egen
Smart Pipe 250;A86D-WT250-16004065(JAL);#KC Stav anger Kommune Av løp;Vestliv eien ;0.0;03/09‐19  18:38;283;20/03‐18;Egen
Smart Pipe 250;A86D-WT250-16004102;#KC Stav anger Kommune Av løp;Rebakken ;0.0;28/08‐19  18:06;112;31/08‐17;Egen
Smart Pipe 250;A86D-WT250-16010174(JEL);#KC Stav anger Kommune Av løp;Småv ollen ;0.0;13/04‐19  02:37;84;11/02‐19;Egen
Smart Pipe 250;A86D-WT250-16013531;#KC Stav anger Kommune Av løp;"Nedre Tordenskjolds gate";0.0;05/08‐19  00:07;145;04/09‐17;Egen
